,car_name,yr_mfr,fuel_type,kms_run,city,body_type,transmission,total_owners,original_price,warranty_avail,sale_price
403,maruti swift dzire,2013,diesel,106300,gurgaon,sedan,manual,1,368595.0,False,339699
404,maruti swift dzire,2013,diesel,90775,gurgaon,sedan,manual,1,369412.0,False,362699
406,ford fiesta,2012,petrol,107016,gurgaon,sedan,automatic,1,302299.0,False,299599
408,maruti swift,2012,diesel,89318,gurgaon,hatchback,manual,1,397464.0,False,307299
409,maruti swift dzire,2014,diesel,101891,gurgaon,sedan,manual,1,465599.0,False,381499
412,maruti swift dzire,2015,diesel,126440,gurgaon,sedan,manual,1,471205.0,True,405899
413,maruti swift dzire,2013,diesel,104976,gurgaon,sedan,manual,2,345899.0,False,335799
414,toyota corolla altis,2012,diesel,105865,gurgaon,luxury sedan,manual,1,448316.0,False,366899
417,maruti swift,2014,diesel,106521,gurgaon,hatchback,manual,1,449890.0,False,385999
418,toyota etios,2012,diesel,121820,gurgaon,sedan,manual,1,337830.0,False,300599
419,maruti swift dzire,2013,diesel,100427,gurgaon,sedan,manual,2,379753.0,False,317199
420,toyota etios liva,2012,diesel,160408,gurgaon,hatchback,manual,1,341798.0,False,263599
421,maruti ciaz,2014,diesel,103867,gurgaon,sedan,manual,1,573000.0,False,479099
422,maruti celerio,2015,petrol & cng,105284,gurgaon,hatchback,automatic,2,324837.0,False,324499
423,ford ecosport,2013,diesel,130274,gurgaon,suv,manual,1,515400.0,True,420199
425,hyundai verna,2013,diesel,134080,gurgaon,sedan,manual,1,469973.0,False,385699
426,maruti swift dzire,2012,diesel,128836,gurgaon,sedan,manual,1,368056.0,False,290399
428,toyota innova,2014,diesel,69781,gurgaon,suv,manual,1,1067659.0,False,1016967
430,hyundai i20,2012,diesel,87995,gurgaon,hatchback,manual,3,321680.0,False,261399
431,maruti swift,2012,diesel,136700,gurgaon,hatchback,manual,1,396454.0,False,318299
432,toyota innova,2014,diesel,82096,gurgaon,suv,manual,1,1062066.0,False,1013331
434,toyota fortuner,2012,diesel,96301,gurgaon,luxury suv,manual,2,1058744.0,False,1040904
435,toyota fortuner,2012,diesel,166542,gurgaon,luxury suv,manual,1,1249075.0,False,1102413
438,hyundai eon,2017,petrol,22003,gurgaon,hatchback,manual,1,288599.0,False,288499
440,maruti wagon r 1.0,2015,petrol,19172,gurgaon,hatchback,manual,1,327599.0,False,314699
441,maruti wagon r 1.0,2015,petrol,39401,gurgaon,hatchback,manual,1,314388.0,True,246499
444,maruti swift dzire,2012,diesel,64085,gurgaon,sedan,manual,1,411876.0,True,358999
446,maruti vitara brezza,2019,diesel,29804,gurgaon,suv,manual,1,984201.0,False,800199
447,honda city,2010,petrol,86768,gurgaon,sedan,manual,3,298599.0,False,296499
449,maruti wagon r stingray,2014,petrol,84706,gurgaon,hatchback,manual,2,293999.0,False,293899
450,toyota etios liva,2014,diesel,76208,gurgaon,hatchback,manual,1,312099.0,False,302499
451,mahindra scorpio,2018,diesel,41612,gurgaon,suv,manual,1,1018987.0,False,1018886
452,hyundai santro xing,2008,petrol,91288,gurgaon,hatchback,manual,1,161499.0,False,154499
454,honda jazz,2016,petrol,80256,gurgaon,hatchback,automatic,1,564900.0,True,449299
455,maruti swift,2014,diesel,92498,gurgaon,hatchback,manual,1,431224.0,False,359799
456,hyundai creta,2018,diesel,75459,gurgaon,suv,automatic,1,1290266.0,False,1207251
458,maruti ritz,2010,petrol,161419,gurgaon,hatchback,manual,2,184299.0,False,183299
460,toyota innova,2014,diesel,101927,gurgaon,suv,manual,1,935780.0,False,748099
461,hyundai verna,2012,diesel,95741,gurgaon,sedan,manual,1,529680.0,False,413899
464,maruti swift,2015,petrol,23701,gurgaon,hatchback,manual,1,421805.0,False,414699
465,maruti swift dzire,2014,diesel,29626,gurgaon,sedan,manual,1,413270.0,False,408099
466,maruti swift,2016,petrol,17015,gurgaon,hatchback,manual,2,379198.0,False,363599
467,honda jazz,2011,petrol,62664,gurgaon,hatchback,manual,3,330859.0,True,219899
470,maruti wagon r 1.0,2016,petrol,29477,gurgaon,hatchback,manual,1,326512.0,False,322799
471,hyundai grand i10,2016,petrol,21898,gurgaon,hatchback,manual,1,499149.0,False,394099
472,maruti celerio,2014,petrol,27716,gurgaon,hatchback,automatic,2,317825.0,False,305599
473,hyundai grand i10,2017,petrol,25355,gurgaon,hatchback,manual,1,440345.0,False,434999
474,maruti dzire,2018,petrol,21043,gurgaon,sedan,manual,1,481639.0,False,471699
476,maruti swift dzire,2012,diesel,46077,gurgaon,sedan,manual,1,394685.0,False,312599
477,hyundai verna,2013,petrol,48097,gurgaon,sedan,manual,1,493546.0,False,399899
479,hyundai grand i10,2017,diesel,38100,gurgaon,hatchback,manual,1,502380.0,False,395799
480,maruti celerio,2014,petrol,45027,gurgaon,hatchback,manual,1,291602.0,False,285699
481,hyundai grand i10,2016,petrol,15844,gurgaon,hatchback,manual,1,523807.0,False,422099
482,hyundai grand i10,2016,petrol,45391,gurgaon,hatchback,manual,1,484916.0,True,373099
484,hyundai grand i10,2016,petrol,37705,gurgaon,hatchback,manual,1,418999.0,False,405599
485,tata tiago,2018,petrol,14882,gurgaon,hatchback,manual,1,526200.0,False,428499
486,maruti swift,2014,petrol,52879,gurgaon,hatchback,manual,2,353762.0,False,346499
487,renault kwid,2019,petrol,18699,gurgaon,hatchback,manual,1,362643.0,False,295799
488,maruti swift,2016,diesel,48780,gurgaon,hatchback,manual,2,529522.0,True,456899
489,volkswagen polo,2010,petrol,65467,gurgaon,hatchback,manual,3,190287.0,False,154599
490,hyundai verna,2014,diesel,48498,gurgaon,sedan,manual,1,653280.0,False,523699
491,tata tiago,2016,petrol,37822,gurgaon,hatchback,manual,1,387810.0,False,309399
