,car_name,yr_mfr,fuel_type,kms_run,city,body_type,transmission,total_owners,original_price,warranty_avail,sale_price
262,8,2015,2,58570,mumbai,0.0,0.0,1,,2,396499
263,8,2013,2,115427,chennai,0.0,0.0,1,347910.0,2,292799
264,7,2007,2,149025,ghaziabad,0.0,0.0,4,,2,81000
265,7,2009,2,62353,bengaluru,0.0,0.0,3,,2,199299
266,8,2013,4,69046,new delhi,0.0,0.0,1,,2,378299
267,7,2013,2,44431,bengaluru,0.0,0.0,2,,2,481699
268,8,2014,2,29094,hyderabad,0.0,0.0,1,557425.0,2,490799
269,13,2012,4,81154,bengaluru,1.0,0.0,1,,2,457799
270,8,2012,2,10253,mumbai,1.0,1.0,2,,2,374799
271,16,2008,2,222344,mumbai,3.0,,2,,2,228699
272,7,2016,2,32339,new delhi,0.0,0.0,1,358742.0,2,277099
273,7,2014,2,30338,mumbai,0.0,0.0,1,,2,362699
274,8,2019,2,22647,mumbai,1.0,0.0,1,826713.0,2,822899
275,7,2018,4,12608,bengaluru,2.0,0.0,1,1049638.0,2,855999
276,7,2015,4,92086,new delhi,0.0,0.0,1,423780.0,2,419699
277,8,2006,1,106500,new delhi,0.0,0.0,1,,2,70000
278,24,2019,4,37965,mumbai,,,1,,2,1826684
279,7,2017,2,5359,ahmedabad,0.0,0.0,1,,2,270000
280,7,2015,4,64085,bengaluru,2.0,0.0,1,694872.0,2,680199
281,7,2015,1,19570,mumbai,0.0,,1,,2,374199
282,8,2015,4,58003,new delhi,2.0,,1,1017337.0,2,841699
283,7,2018,2,13638,bengaluru,0.0,0.0,1,647220.0,2,541799
284,7,2009,2,72623,mumbai,0.0,0.0,1,,2,180699
285,7,2012,4,94644,new delhi,1.0,0.0,1,392440.0,2,333299
286,9,2009,2,215809,ghaziabad,0.0,0.0,1,257953.0,2,202799
287,7,2011,1,114593,hyderabad,0.0,0.0,2,,1,235299
288,11,2004,2,28484,new delhi,1.0,0.0,2,,2,50000
289,11,2008,2,155454,bengaluru,1.0,0.0,1,,2,242499
290,7,2015,2,31048,mumbai,2.0,0.0,1,668154.0,2,660199
291,13,2010,2,106039,hyderabad,3.0,0.0,1,506399.0,2,506299
292,7,2014,2,43981,bengaluru,1.0,0.0,1,524741.0,2,517199
293,2,2017,2,5994,mumbai,0.0,0.0,1,,2,393499
294,7,2014,2,52108,chennai,0.0,1.0,1,385278.0,2,380199
295,7,2015,2,100330,noida,1.0,0.0,1,694062.0,2,537599
296,7,2014,2,87237,ghaziabad,0.0,0.0,1,273978.0,2,200399
297,7,2013,2,29454,bengaluru,0.0,0.0,2,253099.0,2,252999
298,7,2017,4,51203,pune,2.0,0.0,1,775344.0,2,768199
299,7,2017,4,150584,ahmedabad,2.0,0.0,1,909885.0,2,731399
300,8,2010,2,87770,new delhi,0.0,0.0,1,,2,199699
301,7,2012,4,95000,ahmedabad,,,2,,2,260000
302,7,2018,1,150635,ahmedabad,2.0,0.0,1,886187.0,2,740799
303,7,2009,2,74034,pune,0.0,0.0,2,252999.0,2,246999
304,9,2011,2,640251,noida,1.0,1.0,2,,2,346299
305,7,2012,2,49323,mumbai,0.0,0.0,1,182199.0,2,182099
306,15,2019,4,28580,ahmedabad,4.0,,1,1284150.0,2,1125744
307,9,2010,2,119260,pune,1.0,,1,,2,247099
308,9,2016,4,58682,new delhi,,,1,,2,500000
309,7,2017,2,19792,pune,0.0,0.0,1,559123.0,2,545999
310,7,2014,2,53916,bengaluru,0.0,1.0,2,,2,398299
311,7,2017,1,51063,mumbai,0.0,0.0,1,409399.0,2,409299
312,6,2013,4,79962,noida,2.0,0.0,1,458415.0,2,365099
313,8,2018,2,35859,chennai,1.0,0.0,1,1145387.0,2,973399
314,7,2014,2,55075,faridabad,0.0,0.0,1,359488.0,1,269099
315,7,2010,2,63843,new delhi,0.0,0.0,3,202287.0,2,180699
316,7,2009,2,89307,hyderabad,0.0,0.0,1,,2,173699
317,7,2017,2,53935,ahmedabad,1.0,0.0,1,700124.0,2,548599
318,12,2015,2,22078,pune,1.0,,2,,2,567599
319,7,2017,2,4347,new delhi,0.0,0.0,2,,2,500000
320,9,2013,2,44622,mumbai,0.0,0.0,1,289899.0,2,289799
321,7,2020,2,5076,ahmedabad,2.0,0.0,1,592061.0,2,481099
322,9,2013,2,20924,mumbai,1.0,0.0,1,429905.0,2,411499
323,11,2013,4,111690,noida,2.0,0.0,1,449580.0,2,384299
324,11,2014,2,37000,bengaluru,0.0,,2,,2,375000
325,7,2007,1,100178,pune,1.0,0.0,4,,2,100000
326,7,2008,2,117930,new delhi,1.0,0.0,1,,2,163199
327,8,2009,2,111095,new delhi,0.0,0.0,1,195544.0,2,187099
328,12,2016,2,96726,bengaluru,1.0,1.0,1,627571.0,2,623899
329,8,2008,1,102602,new delhi,1.0,0.0,2,,1,150000
330,7,2016,2,70380,ahmedabad,0.0,0.0,1,296092.0,2,259599
331,9,2013,2,68916,mumbai,0.0,0.0,1,,2,338699
332,7,2012,1,80909,new delhi,0.0,0.0,2,,1,174000
333,7,2010,4,103406,new delhi,0.0,0.0,1,,2,152000
334,7,2019,2,19564,chennai,0.0,0.0,1,578199.0,2,567099
335,6,2019,2,16685,ghaziabad,0.0,0.0,1,504069.0,2,386599
336,7,2008,2,90892,pune,0.0,0.0,4,,2,70000
337,9,2010,2,86559,bengaluru,1.0,0.0,2,,2,431499
338,8,2013,2,68242,mumbai,1.0,0.0,3,407106.0,2,367699
339,9,2014,2,67597,bengaluru,1.0,0.0,2,,2,631699
340,8,2012,4,115457,ghaziabad,1.0,0.0,1,416990.0,2,356599
341,7,2018,4,52996,mumbai,1.0,0.0,1,709699.0,2,709499
342,7,2013,4,115820,new delhi,2.0,0.0,1,466648.0,2,456899
343,8,2018,4,40049,new delhi,2.0,,1,913275.0,2,878999
344,8,2014,2,39756,pune,1.0,0.0,2,,2,483899
345,7,2015,4,71640,hyderabad,0.0,0.0,1,,2,536399
