car_name,yr_mfr,fuel_type,kms_run,city,body_type,transmission,total_owners,original_price,sale_price
maruti,2016,petrol,20092,gurgaon,hatchback,manual,1,587400,499499
hyundai,2016,petrol,19069,gurgaon,hatchback,manual,1,,461699
maruti,2010,petrol,41190,gurgaon,hatchback,manual,1,242925,183599
maruti,2014,diesel,29959,gurgaon,hatchback,,1,436759,387499
maruti,2013,petrol,36501,gurgaon,hatchback,manual,2,,270599
maruti,2017,petrol,27705,gurgaon,hatchback,,1,442157,339399
maruti,2010,petrol,47182,gurgaon,hatchback,manual,1,200043,158599
honda,2011,petrol,61632,gurgaon,sedan,manual,1,356538,343099
maruti,2014,diesel,44353,gurgaon,hatchback,,1,349000,346099
hyundai,2013,petrol,40273,gurgaon,hatchback,manual,1,366899,350099
renault,2018,petrol,11949,gurgaon,hatchback,manual,1,,311199
hyundai,2016,petrol,41227,gurgaon,hatchback,manual,3,,381799
maruti,2014,petrol,48866,gurgaon,hatchback,manual,1,,398399
honda,2017,petrol,23274,gurgaon,sedan,manual,1,533899,520199
maruti,2018,petrol,27886,gurgaon,hatchback,manual,1,369510,289299
maruti,2010,petrol,45983,gurgaon,sedan,manual,1,,306099
maruti,2018,petrol,4220,gurgaon,sedan,,1,906288,890399
honda,2013,petrol,46210,gurgaon,hatchback,manual,1,,277299
hyundai,2012,diesel,48288,gurgaon,sedan,manual,1,500914,410499
hyundai,2017,petrol,43373,gurgaon,hatchback,manual,2,396800,368699
maruti,2015,petrol & cng,58187,gurgaon,hatchback,,2,326060,270399
maruti,2012,diesel,48390,gurgaon,sedan,manual,1,,326999
hyundai,2016,petrol,43120,gurgaon,hatchback,manual,1,414424,401299
hyundai,2010,petrol,47870,gurgaon,hatchback,manual,1,,219699
honda,2013,petrol,56137,gurgaon,hatchback,manual,1,323331,251499
hyundai,2017,petrol,44311,gurgaon,hatchback,manual,1,,406399
hyundai,2015,petrol,19037,gurgaon,hatchback,manual,3,,245799
renault,2017,petrol,38245,gurgaon,hatchback,manual,2,232866,229499
maruti,2015,diesel,52490,gurgaon,hatchback,manual,1,526496,424499
hyundai,2009,petrol,53021,gurgaon,hatchback,manual,1,214760,173899
maruti,2017,petrol,18113,gurgaon,hatchback,manual,1,,307899
maruti,2017,petrol,30113,gurgaon,hatchback,manual,1,,314099
hyundai,2016,petrol,60011,gurgaon,hatchback,manual,1,406750,394299
maruti,2017,petrol,51476,gurgaon,hatchback,manual,1,317400,308199
maruti,2017,petrol & cng,51147,gurgaon,hatchback,manual,2,,275799
maruti,2012,diesel,82002,gurgaon,sedan,manual,1,,346799
toyota,2014,diesel,59700,gurgaon,hatchback,manual,2,404633,386999
maruti,2017,petrol & cng,71937,gurgaon,hatchback,manual,1,,267399
volkswagen,2013,petrol,49004,gurgaon,hatchback,manual,2,,316199
maruti,2014,petrol,31745,gurgaon,hatchback,manual,1,277799,266399
maruti,2015,diesel,63435,gurgaon,hatchback,manual,1,534128,446199
hyundai,2014,petrol,68678,gurgaon,hatchback,manual,1,,389299
maruti,2016,petrol,47218,gurgaon,sedan,manual,1,548500,547199
maruti,2014,petrol,43574,gurgaon,hatchback,manual,1,358143,307299
maruti,2015,diesel,66476,gurgaon,hatchback,manual,1,456560,401299
maruti,2018,petrol,69958,gurgaon,hatchback,manual,1,,378599
maruti,2019,petrol,14775,gurgaon,hatchback,automatic,1,630699,630599
hyundai,2013,petrol,51901,gurgaon,hatchback,manual,2,,376299
hyundai,2011,petrol,45122,gurgaon,hatchback,manual,3,256714,232999
honda,2016,petrol,56403,gurgaon,sedan,manual,1,696694,580899
maruti,2017,diesel,27711,gurgaon,suv,manual,1,784833,739899
maruti,2009,petrol,79226,gurgaon,hatchback,manual,1,213413,198799
hyundai,2016,petrol,54854,gurgaon,hatchback,manual,1,,268299
hyundai,2011,petrol,73397,gurgaon,hatchback,manual,1,,285499
hyundai,2011,petrol,73453,gurgaon,hatchback,manual,1,270330,221699
hyundai,2015,diesel,53523,gurgaon,hatchback,manual,1,,516999
honda,2009,petrol,72093,gurgaon,sedan,manual,1,,256999
hyundai,2015,petrol,55683,gurgaon,hatchback,manual,1,,556499
honda,2016,diesel,51803,gurgaon,sedan,manual,2,598403,574899
maruti,2013,petrol,61470,gurgaon,hatchback,manual,1,,336199
maruti,2007,petrol,95040,gurgaon,hatchback,manual,1,185745,149199
hyundai,2014,petrol,64348,gurgaon,sedan,manual,1,,413499
maruti,2016,petrol,43864,gurgaon,hatchback,manual,1,495000,486899
hyundai,2017,petrol,65194,gurgaon,hatchback,manual,1,,459499
hyundai,2010,petrol,66292,gurgaon,hatchback,manual,1,,224399
kia,2020,diesel,20199,gurgaon,,,1,1483500,1399656
maruti,2018,diesel,14337,gurgaon,suv,automatic,1,1042014,1010806
hyundai,2008,petrol,91018,gurgaon,hatchback,manual,1,,126699
hyundai,2019,diesel,25835,gurgaon,suv,,1,1241619,1050802
hyundai,2012,petrol,49146,gurgaon,hatchback,manual,1,,212099
volkswagen,2011,petrol,62890,gurgaon,hatchback,manual,3,,238499
maruti,2018,diesel,21843,gurgaon,suv,manual,2,833470,783599
maruti,2018,diesel,17350,gurgaon,suv,automatic,1,974525,921299
honda,2010,petrol,89560,gurgaon,sedan,manual,1,,305499
maruti,2011,petrol & cng,66094,gurgaon,hatchback,manual,1,,242799
maruti,2019,diesel,26930,gurgaon,suv,manual,1,985423,796099
maruti,2011,petrol,118427,gurgaon,hatchback,manual,1,,177299
maruti,2014,diesel,79144,gurgaon,hatchback,manual,1,449346,381099
maruti,2013,diesel,68546,gurgaon,hatchback,manual,1,369999,353499
maruti,2018,petrol & cng,77097,gurgaon,hatchback,manual,2,,338099
maruti,2015,diesel,70952,gurgaon,hatchback,manual,1,546600,446499
hyundai,2013,petrol,63628,gurgaon,hatchback,manual,1,,225399
hyundai,2009,petrol,94856,gurgaon,hatchback,manual,2,,203799
honda,2016,petrol,84427,gurgaon,hatchback,manual,1,507260,435399
toyota,2011,diesel,114464,gurgaon,sedan,manual,1,307028,235099
toyota,2012,diesel,78059,gurgaon,suv,manual,1,621403,549699
maruti,2012,petrol,99207,gurgaon,hatchback,manual,1,,192799
maruti,2015,diesel,85657,gurgaon,suv,manual,1,512915,429599
maruti,2009,petrol,133401,gurgaon,sedan,manual,1,,198399
maruti,2014,diesel,83368,gurgaon,hatchback,manual,1,389000,360999
honda,2014,petrol,86132,gurgaon,sedan,automatic,1,397631,390399
hyundai,2018,diesel,40585,gurgaon,sedan,automatic,2,971575,917999
honda,2009,petrol,99003,gurgaon,sedan,manual,2,302880,258599
maruti,2015,petrol,73411,gurgaon,hatchback,manual,1,434736,342399
mahindra,2015,diesel,74165,gurgaon,suv,automatic,1,668280,530399
maruti,2012,diesel,89809,gurgaon,hatchback,manual,1,305495,292199
hyundai,2012,diesel,98304,gurgaon,hatchback,manual,1,346396,253699
volkswagen,2016,diesel,84113,gurgaon,sedan,manual,1,500245,448699
honda,2010,petrol,74464,gurgaon,sedan,manual,2,,298999
honda,2011,petrol,112222,gurgaon,hatchback,manual,1,,231499
maruti,2017,diesel,70268,gurgaon,sedan,manual,1,734314,579799
ford,2016,diesel,87720,gurgaon,suv,manual,3,514674,502599
maruti,2015,diesel,54862,gurgaon,hatchback,manual,1,,505199
maruti,2012,diesel,97973,gurgaon,sedan,manual,1,,350199
honda,2013,diesel,93447,gurgaon,sedan,manual,1,,323599
maruti,2013,diesel,87567,gurgaon,hatchback,manual,1,,342199
hyundai,2017,diesel,60967,gurgaon,suv,automatic,2,982267,975299
hyundai,2015,diesel,82388,gurgaon,hatchback,manual,1,542932,489199
maruti,2012,diesel,90249,gurgaon,sedan,manual,1,326799,326399
maruti,2012,petrol,93626,gurgaon,hatchback,manual,1,230564,203399
bmw,2012,diesel,26566,gurgaon,luxury sedan,automatic,2,,1090697
maruti,2013,diesel,84308,gurgaon,hatchback,manual,2,362820,319599
hyundai,2012,diesel,108007,gurgaon,hatchback,manual,2,,316199
honda,2013,petrol,93013,gurgaon,hatchback,manual,1,,223599
maruti,2015,diesel,81692,gurgaon,sedan,manual,2,494101,474599
hyundai,2010,petrol,94371,gurgaon,hatchback,manual,1,,237399
maruti,2013,diesel,82786,gurgaon,hatchback,manual,2,343573,264299
toyota,2016,petrol,80252,gurgaon,luxury sedan,manual,1,1593500,1591960
maruti,2012,diesel,106913,gurgaon,sedan,manual,2,294630,276399
maruti,2013,diesel,90030,gurgaon,hatchback,manual,1,398540,319199
hyundai,2015,petrol,64236,gurgaon,hatchback,manual,2,,407299
honda,2017,petrol,58561,gurgaon,sedan,manual,2,,720299
maruti,2014,diesel,97711,gurgaon,hatchback,manual,1,383361,368799
maruti,2013,diesel,106300,gurgaon,sedan,manual,1,368595,339699
maruti,2013,diesel,90775,gurgaon,sedan,manual,1,369412,362699
hyundai,2011,petrol,105271,gurgaon,hatchback,manual,1,,209599
ford,2012,petrol,107016,gurgaon,sedan,automatic,1,302299,299599
maruti,2012,petrol,121312,gurgaon,sedan,manual,1,,289099
maruti,2012,diesel,89318,gurgaon,hatchback,manual,1,397464,307299
maruti,2014,diesel,101891,gurgaon,sedan,manual,1,465599,381499
